block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw
48827247,0x9d99e82abc9c979be99a62958da7586002b8107ac856937be27ed1c09d10b734,286,0x86e2a14e54f299761f59b19cddc223887ba0db92,0x86e2a14e54f299761f59b19cddc223887ba0db92,0xea97a716341884db80730ba850ecc92d5af52cb9,1260,2300000000000000,0,0
48704952,0xf8b34f7ee450a469885e5d6b49e3965ffedb0501be754060c8420a5500492383,297,0x77f1894552a6336bd0fb2f0e904d30858f67cfa4,0x62e8e0de707ba0b7766b4643f2f5ea2981f05fb8,0xfe88444bf2dd671cdfc2fdab8c6642df3d2e3970,3895,100000000000000000,0,0
48756175,0x7c52c91d1c4b565dc574c46f9d038c05824f323912f6973711fc76b9cc771376,137,0x61c8405eda0a4925a34192f6d4521ed7415069c0,0x70bd0691ed8038ca5831700aad2023c947029f1a,0x5d666f215a85b87cb042d59662a7ecd2c8cc44e6,17409337,100000000000000,0,0
