block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw
17887922,0x0a109ad31a2da6071ad94bc415c64326e3ee62dcb936682cadc458d48f0d9518,1,0x12807af595c6b52ae6ca7f3056c162ca8cb43ccf,0xf777eea577a0427b39799e5d596933da48375dae,0xabcdb5710b88f456fed1e99025379e2969f29610,135,128953178217137919,661298349831476,0
17887922,0x0a109ad31a2da6071ad94bc415c64326e3ee62dcb936682cadc458d48f0d9518,2,0x12807af595c6b52ae6ca7f3056c162ca8cb43ccf,0xf777eea577a0427b39799e5d596933da48375dae,0xabcdb5710b88f456fed1e99025379e2969f29610,2434,128953178217137919,661298349831476,0
18002848,0x116238eecfdd57a1e75fd5dc5913ed787d46ff74626d1f45abea83e9feff8462,1,0x6730bc8c9bd1000ba6eb62f70cde958dbceb0ac6,0x452159cb99e411a0abd433fd64d9fa7a73a703f7,0xef1a89cbfabe59397ffda11fc5df293e9bc5db90,4185,49982509589307190,232693247622473,3211166817190117
19269136,0x128fcd1ded7afe9287746573d4cfbb67c6684d6698c3b3a2f5a507370ec48689,1,0x0c415603f88ddcac90a2a9b9c99b27edb6e79e97,0x6fdded36a45e20ff6e773046aaa2e3a7df4fe730,0xcb0477d1af5b8b05795d89d59f4667b59eae9244,11835,475202175501868468,2206138233527709,18531561161632749
18564921,0x15ff89bb0294c7cfb9be4bb2681c048314ef97725b64ba52e8f87c0e2ba0143d,1,0x5079f58dfeeb60014b2d1bd98cc01ac3160bc4f0,0x42f505f07d40eee3f2a24c2dfe8ff8fb702992dc,0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,6800,511827537433546423,2584987562795689,0
17746420,0x204aa9926242662049beffa38687b3dc704726cf40a03e0329d8f77619d4bad7,1,0x118014fe248e7a18240ed38e76a5c59815389841,0xab32bf707c9d9f78f1101f9b7b4d6b4b3727b6ea,0x228d3ae7943b81c76800c482d3273d8b09ab6225,5642,989649253731452,5075124378110,0
18704184,0x20eb95040e0117c27dc7a4dbedbe24cf657613ba497be4465f21662278137120,1,0xdd7267db6bad68e09f3a7288965949c44237ebe4,0xcdb8f114d2fb28a4b85bb1ab6e09444006ef5385,0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,8722,666020409512901975,3280888716812325,0
18360175,0x245651f5da8cf4336be427c5872221849b7e23589a9de425135aad7ef854d3a3,1,0xf6aceb951ac27e974fc2f364092fbb7e240c4d80,0xd229a3474b2b7a30ecff5990c1f0c9304730c72c,0x31b73666ca5874950e94babc0c5f93419facc82b,1,819736517496,3979303483,0
18198610,0x30423a73f283f9ff04fb091ad28064782fe08f1503d078068372f9b2938f0f89,1,0x13b2544db9724be3e8a59519e64f1cbabc844dea,0x830d3f12a76b60bdca97e69a81aed7eaef23c376,0x23581767a106ae21c074b2276d25e5c3e136a68b,1440,1259113300492611101,5911330049261085,59113300492610846
17666741,0x32f4b49de0998b7ffd4b0864d33cf9b85ef01f1a80b5a02d86b5c86be6513857,1,0xeb12409bed1d47aabc9da4f9737d118fc33c8bc7,0x2633b996052f016aca973591b31cd1c18ba6ca8b,0x94fe1d5de3a4208c7411ae21968e044abc17be48,38,125045675744898974,694698198582772,0
