blockchain,project,version,block_date,tx_hash,evt_index,sub_idx,nft_contract_address,token_id,buyer,seller,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
zora,opensea,v4,2024-03-07,0x36f536069a3c25483278c597148d8038bb06d377ffb7a57f5f86c43a6296dd6e,1,1,0x266b7e8df0368dd4006be5469dd4ee13ea53d3a4,560918,0xd94b9a07f7823cedeee3e5955a37c55e88a998b2,0xd24425e7d3c239d7fba892e19899bcdc4322eedd,20000000000000,500000000000,
zora,opensea,v4,2024-03-07,0x67043d84c0bce1d95b133f1e04b0a73c6af3e869fcb688c329ae86dc8e7ea072,1,1,0xc51ba90509e1d3a5cb5a78e21705a844abfb8172,1,0x3a49b43bd994f3ce7dde3a8af6d0a5660dbaaa2a,0x3dbd05fd99be44e03dc962837b7cc40a4a55b116,1900000000000000,47500000000000,
zora,opensea,v4,2024-03-07,0xf67931c83460914310b2a481683a573a8b9cbfd98d46a78853ca9c1e2eb04c6e,1,1,0xab598a164729d88fa04a72b8420556ab9de756a8,3,0x3a49b43bd994f3ce7dde3a8af6d0a5660dbaaa2a,0xfe8ceb5eeb7de237fcb047747551b581371dfa87,1195000000000000,29875000000000,
zora,opensea,v4,2024-03-07,0x10a1801a192307fc447e0564b501148e7744950004c1dc20e60523e6c69d065c,3,1,0x09dd68c87020055a19733a6ccd7bfc7e7dfb3483,50784,0x215271c23ee0781dcf8fcb64790bb88b694b7fc5,0xd651b62a886e4cc9ce865b5dfb295fd77d2224a5,1098990000000000,27474750000000,
zora,opensea,v4,2024-03-07,0xb78975c5d768c8e933c81c462903c7374f421d89f5c227c22ef27abe892881b8,5,1,0xc673832ff7995d9eacaf198b5ab94eaef0499341,2,0xfc258b128dd2839666530eb0611b5c00735a5aaa,0xd1f6a55632ff7a0cc635cd649e62e355f8e17fc8,789000000000000,19725000000000,
zora,opensea,v4,2024-03-07,0x6c9f8b1e4fc52d38e7e0e16763c6f1bc921a6f856f2641f8d267444540ec8523,1,1,0x060f3edd18c47f59bd23d063bbeb9aa4a8fec6df,1,0xfc6fc698a19f95832ecee8cdb9e55cb8f475a6e8,0x922197fd26290e3af3da0c35e7f4f299d95e8741,899000000000000,22475000000000,
zora,opensea,v4,2024-03-07,0x337d9dd461f50d52d8dc44d61918cbddf005ad5c01f077d60f78a156c76331cf,1,1,0xb9a2f7762c890b243c92348cbb2b1ff31e4d7fda,1,0xa0434628d6f56ff5291096a29356205323bc91da,0x89fbe203edcc8dc1cca45b672e48f7b8ea04433a,2800000000000000,70000000000000,140000000000000
zora,opensea,v4,2024-02-29,0x84cf93a1cce030053756d2524a8347c9a4d80dd55f93d7c4e02926caca85eaea,1,1,0x03fee76c3901d802407b0e3b1259657ef2e163a4,16,0x28faef4c17dd9c3da8864c2ff37e00c0df15e3d4,0x1935cc900625c6f077a7489fe2c9de0e6dc815dc,1400000000000000,35000000000000,70000000000000
zora,opensea,v4,2024-02-29,0xaf1b34558066e39d643e680759e9947119da0d3d17bb82a08c5d6fce2a62ba56,0,1,0xc278e830b07ba22eae411af7f3b0396907856156,10144,0xb7005bd95ee95feb3a7ce143bf628340c99f1104,0x71d0953075c39f4b3da1625ec848e278ff91d15a,13000000000000,325000000000,
zora,opensea,v4,2023-08-10,0xfd56694982b1bcfe92b5eeb4459644d24d99aa6a7d5adbacab645077b9b567cd,0,1,0x22ebbcb38a0666f09042b02f0e2bfe930c33eacb,18874,0xbf0d78ebe5e2c5a8ed9dbe42d539f5e8ea115d61,0x475060616fd5b39a1a2ee5ef07e0c163b3f0df7d,1690000000000000,42250000000000,33800000000000
zora,opensea,v4,2023-09-09,0x817366ec6040785c4697b835bb207579bf7375749577d484a3ad77494e604de3,1,1,0x199a21f0be1cdcdd882865e7d0f462e4778c5ee4,79285,0xcfe86281728d140d4796ae2fe20c6533b5fae104,0x4c9f29229c47c4207e05923a3121dd7d51783454,8000000000000,200000000000,
zora,opensea,v4,2023-09-09,0x8f400349a2c838ea5b1ff653d4a8fe5408a7154a3e6f7c91ad105bafd44d549b,108,1,0x09dd68c87020055a19733a6ccd7bfc7e7dfb3483,63954,0x3625eff632eab044489a46014dd168ccb5112240,0xb54638bb3327df2df142fde3b957725dde2e5732,1790000000000000,44750000000000,
zora,opensea,v4,2023-10-13,0x8abdafe547e508cce677552a0ce64765b32abdd5ec2d5472513b6c6be1ba1a8c,5,1,0x5921a344e85553d8ec7f8510917d38aaa8d21081,12064,0xa1551c98a14f36631ac8737bb21ffe4d6c57d987,0xcc65acb37028b18c0103ef53b28b73e39db201bb,3880000000000000,97000000000000,194000000000000
